method,alpha,layer,groups,group_size_pattern,num_groups,unique_group_count_1,unique_group_count_2,unique_group_rate_1,unique_group_rate_2,mean_unique_groups,mean_intragroup_output_distance,oracle_unique_group_rate_1,oracle_unique_group_rate_2,oracle_mean_unique_groups,oracle_mean_intragroup_output_distance
objective_aware,1.0,28,"[[0,5,6],[1,2,7],[3],[4]]","[3,3,1,1]",4,15471,50065,0.2360687255859375,0.7639312744140625,1.7639312744140625,7.686826308568318,0.4878997802734375,0.5121002197265625,1.5121002197265625,9.362681341171264
legacy_pairwise_hc,1.0,28,"[[0,5,6],[1,2,7],[3],[4]]","[3,3,1,1]",4,15471,50065,0.2360687255859375,0.7639312744140625,1.7639312744140625,7.686826308568318,0.4878997802734375,0.5121002197265625,1.5121002197265625,9.362681341171264
objective_aware,1.0,29,"[[0,1,2,7],[3,6],[4],[5]]","[4,2,1,1]",4,26430,39106,0.403289794921875,0.596710205078125,1.596710205078125,13.406708581107003,0.4679107666015625,0.5320892333984375,1.5320892333984375,14.581612586975098
legacy_pairwise_hc,1.0,29,"[[0,1,2,7],[3,6],[4],[5]]","[4,2,1,1]",4,26430,39106,0.403289794921875,0.596710205078125,1.596710205078125,13.406708581107003,0.4679107666015625,0.5320892333984375,1.5320892333984375,14.581612586975098
objective_aware,1.0,30,"[[0,3,4,7],[1],[2,6],[5]]","[4,2,1,1]",4,22855,42681,0.3487396240234375,0.6512603759765625,1.6512603759765625,24.78147997174944,0.500335693359375,0.499664306640625,1.499664306640625,39.07254962921142
legacy_pairwise_hc,1.0,30,"[[0,3,4,7],[1],[2,6],[5]]","[4,2,1,1]",4,22855,42681,0.3487396240234375,0.6512603759765625,1.6512603759765625,24.78147997174944,0.500335693359375,0.499664306640625,1.499664306640625,39.07254962921142
objective_aware,1.0,31,"[[0,4],[1,5],[2,6],[3,7]]","[2,2,2,2]",4,22809,42727,0.3480377197265625,0.6519622802734375,1.6519622802734375,64.35312843322754,0.614227294921875,0.385772705078125,1.385772705078125,90.11394729614258
legacy_pairwise_hc,1.0,31,"[[0,4],[1,5],[2,6],[3,7]]","[2,2,2,2]",4,22809,42727,0.3480377197265625,0.6519622802734375,1.6519622802734375,64.35312843322754,0.614227294921875,0.385772705078125,1.385772705078125,90.11394729614258
objective_aware,0.9,0,"[[0],[1],[2,3,4,5,7],[6]]","[5,1,1,1]",4,27713,37823,0.4228668212890625,0.5771331787109375,1.5771331787109375,0.12672947719693184,0.4386749267578125,0.5613250732421875,1.5613250732421875,0.1355750985443592
legacy_pairwise_hc,0.9,0,"[[0],[1],[2,3,4,5,7],[6]]","[5,1,1,1]",4,27713,37823,0.4228668212890625,0.5771331787109375,1.5771331787109375,0.12672947719693184,0.4386749267578125,0.5613250732421875,1.5613250732421875,0.1355750985443592
objective_aware,0.9,1,"[[0,2,5,6,7],[1],[3],[4]]","[5,1,1,1]",4,24970,40566,0.381011962890625,0.618988037109375,1.618988037109375,0.16212718337774276,0.4033050537109375,0.5966949462890625,1.5966949462890625,0.4531985655426979
legacy_pairwise_hc,0.9,1,"[[0,2,6],[1,4],[3],[5,7]]","[3,2,2,1]",4,17553,47983,0.2678375244140625,0.7321624755859375,1.7321624755859375,0.30720740258693696,0.4033050537109375,0.5966949462890625,1.5966949462890625,0.4531985655426979
objective_aware,0.9,2,"[[0,1,2,3,4],[5],[6],[7]]","[5,1,1,1]",4,27035,38501,0.4125213623046875,0.5874786376953125,1.5874786376953125,0.24409200698137284,0.4145660400390625,0.5854339599609375,1.5854339599609375,0.2675840616226196
legacy_pairwise_hc,0.9,2,"[[0,1,2,3,4],[5],[6],[7]]","[5,1,1,1]",4,27035,38501,0.4125213623046875,0.5874786376953125,1.5874786376953125,0.24409200698137284,0.4145660400390625,0.5854339599609375,1.5854339599609375,0.2675840616226196
objective_aware,0.9,3,"[[0,2,4,5],[1],[3],[6,7]]","[4,2,1,1]",4,18114,47422,0.276397705078125,0.723602294921875,1.723602294921875,0.30322309902736116,0.402313232421875,0.597686767578125,1.597686767578125,0.3171242028474808
legacy_pairwise_hc,0.9,3,"[[0,2,4,5],[1],[3],[6,7]]","[4,2,1,1]",4,18114,47422,0.276397705078125,0.723602294921875,1.723602294921875,0.30322309902736116,0.402313232421875,0.597686767578125,1.597686767578125,0.3171242028474808
objective_aware,0.9,4,"[[0,2],[1,5],[3,6,7],[4]]","[3,2,2,1]",4,15478,50058,0.236175537109375,0.763824462890625,1.763824462890625,0.40364550352096557,0.39471435546875,0.60528564453125,1.60528564453125,0.43909434974193573
legacy_pairwise_hc,0.9,4,"[[0,2],[1,5],[3,6,7],[4]]","[3,2,2,1]",4,15478,50058,0.236175537109375,0.763824462890625,1.763824462890625,0.40364550352096557,0.39471435546875,0.60528564453125,1.60528564453125,0.43909434974193573
objective_aware,0.9,5,"[[0,1,4,6,7],[2],[3],[5]]","[5,1,1,1]",4,26525,39011,0.4047393798828125,0.5952606201171875,1.5952606201171875,0.5259082287549972,0.4047393798828125,0.5952606201171875,1.5952606201171875,0.5259082287549972
legacy_pairwise_hc,0.9,5,"[[0,4,6],[1,5,7],[2],[3]]","[3,3,1,1]",4,16401,49135,0.2502593994140625,0.7497406005859375,1.7497406005859375,0.5199532558520635,0.4047393798828125,0.5952606201171875,1.5952606201171875,0.5259082287549972
objective_aware,0.9,6,"[[0,1,2,4],[3],[5,6],[7]]","[4,2,1,1]",4,18644,46892,0.28448486328125,0.71551513671875,1.71551513671875,0.6784695727484567,0.4250640869140625,0.5749359130859375,1.5749359130859375,0.7086998403072358
legacy_pairwise_hc,0.9,6,"[[0,3],[1,2,4],[5,6],[7]]","[3,2,2,1]",4,17020,48516,0.25970458984375,0.74029541015625,1.74029541015625,0.6791138529777527,0.4250640869140625,0.5749359130859375,1.5749359130859375,0.7086998403072358
objective_aware,0.9,7,"[[0,2],[1,4,5,7],[3],[6]]","[4,2,1,1]",4,20424,45112,0.3116455078125,0.6883544921875,1.6883544921875,0.8170177340507507,0.425811767578125,0.574188232421875,1.574188232421875,0.8846524357795715
legacy_pairwise_hc,0.9,7,"[[0,2],[1,3,4],[5,7],[6]]","[3,2,2,1]",4,14943,50593,0.2280120849609375,0.7719879150390625,1.7719879150390625,0.8043620347976684,0.425811767578125,0.574188232421875,1.574188232421875,0.8846524357795715
objective_aware,0.9,8,"[[0,3,4,6,7],[1],[2],[5]]","[5,1,1,1]",4,23007,42529,0.3510589599609375,0.6489410400390625,1.6489410400390625,0.9055051386356354,0.3916168212890625,0.6083831787109375,1.6083831787109375,0.9372064590454101
legacy_pairwise_hc,0.9,8,"[[0,3,4,6],[1,7],[2],[5]]","[4,2,1,1]",4,18594,46942,0.283721923828125,0.716278076171875,1.716278076171875,0.8891176240784782,0.3916168212890625,0.6083831787109375,1.6083831787109375,0.9372064590454101
objective_aware,0.9,9,"[[0,3,4,5,7],[1],[2],[6]]","[5,1,1,1]",4,22451,43085,0.3425750732421875,0.6574249267578125,1.6574249267578125,1.0255069494247437,0.445556640625,0.554443359375,1.554443359375,1.115380311012268
legacy_pairwise_hc,0.9,9,"[[0,3,5],[1,2],[4,7],[6]]","[3,2,2,1]",4,16284,49252,0.24847412109375,0.75152587890625,1.75152587890625,0.9870888352394104,0.445556640625,0.554443359375,1.554443359375,1.115380311012268
objective_aware,0.9,10,"[[0],[1,3],[2,5,6,7],[4]]","[4,2,1,1]",4,22163,43373,0.3381805419921875,0.6618194580078125,1.6618194580078125,1.2909629855837141,0.4619293212890625,0.5380706787109375,1.5380706787109375,1.443949007987976
legacy_pairwise_hc,0.9,10,"[[0],[1,3],[2,4,7],[5,6]]","[3,2,2,1]",4,23843,41693,0.3638153076171875,0.6361846923828125,1.6361846923828125,1.2842775344848634,0.4619293212890625,0.5380706787109375,1.5380706787109375,1.443949007987976
objective_aware,0.9,11,"[[0,1,6,7],[2,5],[3],[4]]","[4,2,1,1]",4,29627,35909,0.4520721435546875,0.5479278564453125,1.5479278564453125,1.4831133059092931,0.5067901611328125,0.4932098388671875,1.4932098388671875,2.029581129550934
legacy_pairwise_hc,0.9,11,"[[0,1,6,7],[2,5],[3],[4]]","[4,2,1,1]",4,29627,35909,0.4520721435546875,0.5479278564453125,1.5479278564453125,1.4831133059092931,0.5067901611328125,0.4932098388671875,1.4932098388671875,2.029581129550934
objective_aware,0.9,12,"[[0,1,2,4,5],[3],[6],[7]]","[5,1,1,1]",4,28299,37237,0.4318084716796875,0.5681915283203125,1.5681915283203125,1.5472447156906128,0.5006561279296875,0.4993438720703125,1.4993438720703125,1.7295993447303772
legacy_pairwise_hc,0.9,12,"[[0,2,4,5],[1,6],[3],[7]]","[4,2,1,1]",4,23094,42442,0.352386474609375,0.647613525390625,1.647613525390625,1.4964206899915422,0.5006561279296875,0.4993438720703125,1.4993438720703125,1.7295993447303772
objective_aware,0.9,13,"[[0],[1,3,5,6],[2,7],[4]]","[4,2,1,1]",4,23224,42312,0.3543701171875,0.6456298828125,1.6456298828125,1.6692981719970703,0.45477294921875,0.54522705078125,1.54522705078125,1.7279566645622253
legacy_pairwise_hc,0.9,13,"[[0],[1,3,5,6],[2,7],[4]]","[4,2,1,1]",4,23224,42312,0.3543701171875,0.6456298828125,1.6456298828125,1.6692981719970703,0.45477294921875,0.54522705078125,1.54522705078125,1.7279566645622253
objective_aware,0.9,14,"[[0,3],[1],[2],[4,5,6,7]]","[4,2,1,1]",4,26525,39011,0.4047393798828125,0.5952606201171875,1.5952606201171875,2.1944994245256697,0.49249267578125,0.50750732421875,1.50750732421875,2.2715713024139403
legacy_pairwise_hc,0.9,14,"[[0,3],[1],[2],[4,5,6,7]]","[4,2,1,1]",4,26525,39011,0.4047393798828125,0.5952606201171875,1.5952606201171875,2.1944994245256697,0.49249267578125,0.50750732421875,1.50750732421875,2.2715713024139403
objective_aware,0.9,15,"[[0,1,5],[2,3,4],[6],[7]]","[3,3,1,1]",4,16901,48635,0.2578887939453125,0.7421112060546875,1.7421112060546875,2.1640517115592957,0.4714202880859375,0.5285797119140625,1.5285797119140625,2.443004322052002
legacy_pairwise_hc,0.9,15,"[[0,1,5],[2,3,4],[6],[7]]","[3,3,1,1]",4,16901,48635,0.2578887939453125,0.7421112060546875,1.7421112060546875,2.1640517115592957,0.4714202880859375,0.5285797119140625,1.5285797119140625,2.443004322052002
objective_aware,0.9,16,"[[0],[1],[2,3,4,6,7],[5]]","[5,1,1,1]",4,24684,40852,0.37664794921875,0.62335205078125,1.62335205078125,2.3671871423721313,0.454498291015625,0.545501708984375,1.545501708984375,2.7391475677490233
