model,layer,expert_i,expert_j,comparison,category,same_group_a0,same_group_a05,same_group_a1,hc_mean_l2,hc_mean_rel_l2,coactivation_rate,routing_jaccard,active_union_rel_l2,corouted_rel_l2,num_union_tokens,num_corouted_tokens
qwen,0,1,50,05_vs_1,shared_05_1,False,True,True,0.37750953435897827,1.283112645149231,0.00067138671875,0.004670912951167728,1.464202963065696,nan,2355,11
qwen,0,1,50,0_vs_05,hybrid_only_vs_hc,False,True,True,0.37750953435897827,1.283112645149231,0.00067138671875,0.004670912951167728,1.464202963065696,nan,2355,11
qwen,0,1,51,05_vs_1,shared_05_1,False,True,True,0.40923282504081726,1.3445138931274414,0.00225830078125,0.01763584366062917,1.4610119766002616,1.4332291564425907,2098,37
qwen,0,1,51,0_vs_05,hybrid_only_vs_hc,False,True,True,0.40923282504081726,1.3445138931274414,0.00225830078125,0.01763584366062917,1.4610119766002616,1.4332291564425907,2098,37
qwen,0,1,52,05_vs_1,hybrid_only_vs_routing,True,True,False,0.2580733299255371,1.3320988416671753,0.00732421875,0.06060606060606061,1.4204943237882672,1.3974980592727662,1980,120
qwen,0,1,52,0_vs_05,shared_0_05,True,True,False,0.2580733299255371,1.3320988416671753,0.00732421875,0.06060606060606061,1.4204943237882672,1.3974980592727662,1980,120
qwen,0,1,53,0_vs_05,hc_only,True,False,False,0.310000479221344,1.3446338176727295,0.0008544921875,0.006779661016949152,1.4351038147693107,nan,2065,14
qwen,0,1,54,05_vs_1,shared_05_1,True,True,True,0.2662890553474426,1.3450924158096313,0.00396728515625,0.032194155522535906,1.4295255574570722,1.3916452481196477,2019,65
qwen,0,1,54,0_vs_05,shared_0_05,True,True,True,0.2662890553474426,1.3450924158096313,0.00396728515625,0.032194155522535906,1.4295255574570722,1.3916452481196477,2019,65
qwen,0,1,55,0_vs_05,hc_only,True,False,False,0.32298174500465393,1.3133493661880493,0.0042724609375,0.03496503496503497,1.4473475497681183,1.4240607057298933,2002,70
qwen,0,1,56,05_vs_1,hybrid_only_vs_routing,True,True,False,0.29740187525749207,1.3217899799346924,0.00177001953125,0.0135450723960766,1.4548467567511554,nan,2141,29
qwen,0,1,56,0_vs_05,shared_0_05,True,True,False,0.29740187525749207,1.3217899799346924,0.00177001953125,0.0135450723960766,1.4548467567511554,nan,2141,29
qwen,0,1,57,0_vs_05,hc_only,True,False,False,0.2734500467777252,1.346407413482666,0.0013427734375,0.011264720942140297,1.4346275732447658,nan,1953,22
qwen,0,1,58,05_vs_1,routing_only,False,False,True,0.3842017352581024,1.3206733465194702,0.0018310546875,0.01422475106685633,1.443802278716737,nan,2109,30
qwen,0,1,59,05_vs_1,routing_only,False,False,True,0.6721155643463135,1.5065529346466064,0.0006103515625,0.004514672686230248,1.5078404971223922,nan,2215,10
qwen,0,3,4,05_vs_1,shared_05_1,False,True,True,0.35558614134788513,1.2676723003387451,0.0103759765625,0.07391304347826087,1.4142103605685026,1.3548708046183866,2300,170
