method,alpha,layer,groups,group_size_pattern,num_groups,unique_group_count_1,unique_group_count_2,unique_group_count_3,unique_group_count_4,unique_group_rate_1,unique_group_rate_2,unique_group_rate_3,unique_group_rate_4,mean_unique_groups,mean_intragroup_output_distance,initial_pairwise_same_group_routing_mass
objective_aware,1.0,5,"[[0,6,7,8,9,11,12,13,20,21,23,24,25,26,27,28,30,31,33,34,39,41,44,47,50,51,54,55,57,58],[1],[2],[3],[4],[5],[10],[14],[15],[16],[17,52],[18],[19],[22],[29],[32],[35],[36],[37],[38],[40],[42],[43],[45],[46],[48],[49],[53],[56],[59]]","[30,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,4822,16731,24606,19377,0.073577880859375,0.2552947998046875,0.375457763671875,0.2956695556640625,2.893218994140625,0.48916463410362193,1.577117919921875
legacy_pairwise_hc,1.0,5,"[[0,6,7,8,9,11,12,13,20,21,23,24,25,26,27,28,30,31,33,34,39,41,44,47,50,51,54,55,57,58],[1],[2],[3],[4],[5],[10],[14],[15],[16],[17,52],[18],[19],[22],[29],[32],[35],[36],[37],[38],[40],[42],[43],[45],[46],[48],[49],[53],[56],[59]]","[30,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,4822,16731,24606,19377,0.073577880859375,0.2552947998046875,0.375457763671875,0.2956695556640625,2.893218994140625,0.48916463410362193,1.577117919921875
objective_aware,1.0,6,"[[0,1,3,7,8,9,10,14,16,18,19,20,22,24,26,29,31,35,39,41,43,45,47,48,49,51,52,53,54,55,59],[2],[4],[5],[6],[11],[12],[13],[15],[17],[21],[23],[25],[27],[28],[30],[32],[33],[34],[36],[37],[38],[40],[42],[44],[46],[50],[56],[57],[58]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,6497,18376,20800,19863,0.0991363525390625,0.2803955078125,0.3173828125,0.3030853271484375,2.8244171142578125,0.7507160935991554,1.753387451171875
legacy_pairwise_hc,1.0,6,"[[0,1,3,7,8,9,10,14,16,18,19,20,22,24,26,29,31,35,39,41,43,45,47,48,49,51,52,53,54,55,59],[2],[4],[5],[6],[11],[12],[13],[15],[17],[21],[23],[25],[27],[28],[30],[32],[33],[34],[36],[37],[38],[40],[42],[44],[46],[50],[56],[57],[58]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,6497,18376,20800,19863,0.0991363525390625,0.2803955078125,0.3173828125,0.3030853271484375,2.8244171142578125,0.7507160935991554,1.753387451171875
objective_aware,1.0,7,"[[0,1,4,9,11,14,15,16,17,18,20,21,27,30,31,34,36,40,41,42,43,44,45,48,50,53,55,57,59],[2],[3],[5],[6],[7,46],[8],[10],[12],[13],[19],[22],[23],[24],[25],[26],[28],[29],[32],[33],[35],[37],[38,56],[39],[47],[49],[51],[52],[54],[58]]","[29,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,3830,17385,24835,19486,0.058441162109375,0.2652740478515625,0.3789520263671875,0.297332763671875,2.9151763916015625,0.7539030260899487,1.5130615234375
legacy_pairwise_hc,1.0,7,"[[0,1,4,9,11,14,15,16,17,18,20,21,27,30,31,34,36,40,41,42,43,44,45,48,50,53,55,57,59],[2],[3],[5],[6],[7,46],[8],[10],[12],[13],[19],[22],[23],[24],[25],[26],[28],[29],[32],[33],[35],[37],[38,56],[39],[47],[49],[51],[52],[54],[58]]","[29,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,3830,17385,24835,19486,0.058441162109375,0.2652740478515625,0.3789520263671875,0.297332763671875,2.9151763916015625,0.7539030260899487,1.5130615234375
objective_aware,1.0,8,"[[0],[1],[2],[3,4,5,7,8,9,10,14,16,17,19,25,26,28,29,30,32,34,36,38,40,41,42,43,46,47,53,54,57,58,59],[6],[11],[12],[13],[15],[18],[20],[21],[22],[23],[24],[27],[31],[33],[35],[37],[39],[44],[45],[48],[49],[50],[51],[52],[55],[56]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,4429,19051,22728,19328,0.0675811767578125,0.2906951904296875,0.3468017578125,0.294921875,2.8690643310546875,0.8200267832766297,1.6243743896484375
legacy_pairwise_hc,1.0,8,"[[0],[1],[2],[3,4,5,7,8,9,10,14,16,17,19,25,26,28,29,30,32,34,36,38,40,41,42,43,46,47,53,54,57,58,59],[6],[11],[12],[13],[15],[18],[20],[21],[22],[23],[24],[27],[31],[33],[35],[37],[39],[44],[45],[48],[49],[50],[51],[52],[55],[56]]","[31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,4429,19051,22728,19328,0.0675811767578125,0.2906951904296875,0.3468017578125,0.294921875,2.8690643310546875,0.8200267832766297,1.6243743896484375
objective_aware,1.0,9,"[[0,2,3,8,9,11,15,16,17,18,19,21,29,32,35,38,40,41,43,44,46,47,48,50,52,55,57,58,59],[1],[4],[5],[6,30],[7],[10],[12],[13],[14],[20],[22],[23,24],[25],[26],[27],[28],[31],[33],[34],[36],[37],[39],[42],[45],[49],[51],[53],[54],[56]]","[29,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,3345,16833,25884,19474,0.0510406494140625,0.2568511962890625,0.39495849609375,0.297149658203125,2.9382171630859375,0.8456414433963159,1.462493896484375
legacy_pairwise_hc,1.0,9,"[[0,2,3,8,9,11,15,16,17,18,19,21,29,32,35,38,40,41,43,44,46,47,48,50,52,55,57,58,59],[1],[4],[5],[6,30],[7],[10],[12],[13],[14],[20],[22],[23,24],[25],[26],[27],[28],[31],[33],[34],[36],[37],[39],[42],[45],[49],[51],[53],[54],[56]]","[29,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",30,3345,16833,25884,19474,0.0510406494140625,0.2568511962890625,0.39495849609375,0.297149658203125,2.9382171630859375,0.8456414433963159,1.462493896484375
