model,layer,expert_i,expert_j,comparison,category,same_group_a0,same_group_a05,same_group_a1,hc_mean_l2,hc_mean_rel_l2,coactivation_rate,routing_jaccard,active_union_rel_l2,corouted_rel_l2,num_union_tokens,num_corouted_tokens
mixtral,9,0,1,05_vs_1,hybrid_only_vs_routing,False,True,False,1.2276197671890259,0.5970723032951355,0.02679443359375,0.05612375351572488,1.1698233512501923,1.135752412615713,7822,439
mixtral,9,0,1,0_vs_05,hybrid_only_vs_hc,False,True,False,1.2276197671890259,0.5970723032951355,0.02679443359375,0.05612375351572488,1.1698233512501923,1.135752412615713,7822,439
mixtral,9,0,2,05_vs_1,shared_05_1,False,True,True,1.323610782623291,0.6247190833091736,0.03460693359375,0.06900328587075576,1.1650535650347305,1.1266145261507186,8217,567
mixtral,9,0,2,0_vs_05,hybrid_only_vs_hc,False,True,True,1.323610782623291,0.6247190833091736,0.03460693359375,0.06900328587075576,1.1650535650347305,1.1266145261507186,8217,567
mixtral,9,0,3,05_vs_1,routing_only,True,False,True,1.1664522886276245,0.585637629032135,0.05206298828125,0.10789273969137364,1.161766685777274,1.135960787290146,7906,853
mixtral,9,0,3,0_vs_05,hc_only,True,False,True,1.1664522886276245,0.585637629032135,0.05206298828125,0.10789273969137364,1.161766685777274,1.135960787290146,7906,853
mixtral,9,0,5,05_vs_1,shared_05_1,True,True,True,1.0311534404754639,0.5199239253997803,0.072509765625,0.14551690347868693,1.1210303458438557,1.1036894621471764,8164,1188
mixtral,9,0,5,0_vs_05,shared_0_05,True,True,True,1.0311534404754639,0.5199239253997803,0.072509765625,0.14551690347868693,1.1210303458438557,1.1036894621471764,8164,1188
mixtral,9,0,6,05_vs_1,routing_only,False,False,True,1.3509453535079956,0.7141729593276978,0.03143310546875,0.06413449564134496,1.1742945372984093,1.1197203552838668,8030,515
mixtral,9,0,7,05_vs_1,hybrid_only_vs_routing,False,True,False,1.1799900531768799,0.5901774764060974,0.03057861328125,0.06187476843275287,1.178357668359942,1.1435683951406421,8097,501
mixtral,9,0,7,0_vs_05,hybrid_only_vs_hc,False,True,False,1.1799900531768799,0.5901774764060974,0.03057861328125,0.06187476843275287,1.178357668359942,1.1435683951406421,8097,501
mixtral,9,1,2,05_vs_1,hybrid_only_vs_routing,True,True,False,1.1537448167800903,0.5356317758560181,0.053466796875,0.12246609814064029,1.1608045912115588,1.1219790639126137,7153,876
mixtral,9,1,2,0_vs_05,shared_0_05,True,True,False,1.1537448167800903,0.5356317758560181,0.053466796875,0.12246609814064029,1.1608045912115588,1.1219790639126137,7153,876
mixtral,9,1,5,05_vs_1,hybrid_only_vs_routing,False,True,False,1.1901919841766357,0.5896311402320862,0.026123046875,0.052393193781368586,1.1609942837464269,1.131051307944494,8169,428
mixtral,9,1,5,0_vs_05,hybrid_only_vs_hc,False,True,False,1.1901919841766357,0.5896311402320862,0.026123046875,0.052393193781368586,1.1609942837464269,1.131051307944494,8169,428
mixtral,9,1,7,05_vs_1,hybrid_only_vs_routing,False,True,False,1.111391544342041,0.5462347269058228,0.063720703125,0.15355199294013824,1.184626758405436,1.15192866981943,6799,1044
mixtral,9,1,7,0_vs_05,hybrid_only_vs_hc,False,True,False,1.111391544342041,0.5462347269058228,0.063720703125,0.15355199294013824,1.184626758405436,1.15192866981943,6799,1044
mixtral,9,2,3,05_vs_1,routing_only,False,False,True,1.163966178894043,0.5570048093795776,0.07427978515625,0.16648426812585498,1.1617901571145952,1.1359215654500117,7310,1217
mixtral,9,2,5,05_vs_1,shared_05_1,False,True,True,1.1833131313323975,0.5685722827911377,0.0347900390625,0.06666666666666667,1.1427583531608358,1.1146623735887962,8550,570
mixtral,9,2,5,0_vs_05,hybrid_only_vs_hc,False,True,True,1.1833131313323975,0.5685722827911377,0.0347900390625,0.06666666666666667,1.1427583531608358,1.1146623735887962,8550,570
mixtral,9,2,6,05_vs_1,routing_only,False,False,True,1.4907244443893433,0.7492789626121521,0.02691650390625,0.056021341463414635,1.1848269524128456,1.1551219738529923,7872,441
mixtral,9,2,7,05_vs_1,hybrid_only_vs_routing,False,True,False,1.2289581298828125,0.5859701633453369,0.02301025390625,0.047189886093378396,1.192957389756099,1.165792065684928,7989,377
mixtral,9,2,7,0_vs_05,hybrid_only_vs_hc,False,True,False,1.2289581298828125,0.5859701633453369,0.02301025390625,0.047189886093378396,1.192957389756099,1.165792065684928,7989,377
mixtral,9,3,5,05_vs_1,routing_only,True,False,True,1.1123557090759277,0.5692024230957031,0.0283203125,0.05375970339473989,1.1545726496352062,1.1103627653471355,8631,464
mixtral,9,3,5,0_vs_05,hc_only,True,False,True,1.1123557090759277,0.5692024230957031,0.0283203125,0.05375970339473989,1.1545726496352062,1.1103627653471355,8631,464
mixtral,9,3,6,05_vs_1,routing_only,False,False,True,1.3343724012374878,0.7164106965065002,0.0264892578125,0.05525846702317291,1.1860708844306544,1.1455642590599675,7854,434
mixtral,9,4,7,0_vs_05,hc_only,True,False,False,1.1088353395462036,0.5520628690719604,0.04248046875,0.10869904732156802,1.1973586430237588,1.1292061877661739,6403,696
